x[0] x[1] x[2] u[0] u[1] 
0.6 0.6 0 -0.9 -0.9
0.306516 0.721367 0.340243 0.9 0.9
0.458271 1.00035 0.680485 0.9 0.9
0.508225 1.31399 1.02073 0.9 0.9
0.45065 1.62631 1.36097 0.9 0.6
0.390656 1.90488 1.54569 0.9 0.3
0.344419 2.17407 1.62921 0.9 0.3
0.275887 2.43846 1.71273 0.9 -0.6
0.35464 2.71232 1.52801 0.9 0.3
0.313168 2.98228 1.61153 0.9 0.3
0.249319 3.24785 1.69505 0.9 -0.6
0.3329 3.52027 1.51034 0.9 0.3
0.296206 3.79092 1.59386 0.9 -0.6
0.406881 4.0535 1.40914 0.9 0.6
0.333544 4.32886 1.59386 0.9 0.3
0.274399 4.59551 1.67738 0.9 -0.6
0.362782 4.86641 1.49266 0.9 0.6
0.266729 5.13469 1.67738 0.9 -0.6
0.355112 5.40559 1.49266 0.9 0.6
0.259059 5.67387 1.67738 0.9 -0.6
0.347442 5.94477 1.49266 0.9 0.6
0.251389 6.21304 1.67738 0.9 -0.6
0.339772 6.48395 1.49266 0.9 0.6
0.24372 6.75222 1.67738 0.9 -0.6
0.332103 7.02312 1.49266 0.9 0.6
0.23605 7.2914 1.67738 0.9 -0.6
0.324433 7.5623 1.49266 0.9 0.6
0.22838 7.83058 1.67738 0.9 -0.6
0.316763 8.10148 1.49266 0.9 -0.6
0.453399 8.35154 1.30794 0.9 -0.6
0.633638 8.57225 1.12323 0.9 0.9
0.544407 8.87704 1.46347 0.9 -0.6
0.688283 9.12301 1.27875 0.9 -0.9
0.959633 9.28803 0.938511 0.9 -0.9
1.2705 9.35304 0.598268 0.9 -0.9
1.58523 9.31058 0.258025 -0.6 0.9
1.4238 9.1727 0.031197 0.6 -0.9
1.59352 9.04516 -0.195631 0.6 -0.9
1.7302 8.88272 -0.42246 -0.9 0.9
1.41276 8.89236 -0.762703 0.9 -0.6
1.52008 8.62838 -0.94742 0.9 -0.9
1.48553 8.31268 -1.28766 0.9 0.3
